yearMonth,species,monthlyCases
"""2012-2""","""Equidae""",27
"""2012-3""","""Homo sapiens""",102652
"""2012-3""","""Aves""",46577
"""2012-3""","""Homo sapiens""",43773
"""2012-3""","""Equidae""",3
"""2012-4""","""Homo sapiens""",42676
"""2012-4""","""Aves""",27053
"""2012-4""","""Homo sapiens""",19410
"""2012-4""","""Bos taurus""",2
"""2012-5""","""Homo sapiens""",22880
"""2012-5""","""Homo sapiens""",10721
"""2012-5""","""Aves""",564
"""2012-6""","""Homo sapiens""",19690
"""2012-6""","""Homo sapiens""",8126
"""2012-6""","""Aves""",6201
"""2012-7""","""Homo sapiens""",35192
"""2012-7""","""Homo sapiens""",18059
"""2012-7""","""Aves""",5537
"""2012-8""","""Homo sapiens""",21552
"""2012-8""","""Homo sapiens""",8812
"""2012-8""","""Aves""",2500
"""2012-8""","""Bos taurus""",18
"""2012-9""","""Aves""",14050
"""2012-9""","""Homo sapiens""",13004
"""2012-9""","""Homo sapiens""",8003
"""2013-1""","""Homo sapiens""",159170
"""2013-1""","""Homo sapiens""",87348
"""2013-1""","""Aves""",3569
"""2013-1""","""Chroicocephalus ridibundus""",1
"""2013-10""","""Homo sapiens""",13384
"""2013-10""","""Homo sapiens""",7022
"""2013-10""","""Aves""",370
"""2013-10""","""Bos taurus""",1
"""2013-11""","""Homo sapiens""",19526
"""2013-11""","""Homo sapiens""",10818
"""2013-12""","""Homo sapiens""",97334
"""2013-12""","""Homo sapiens""",48249
"""2013-12""","""Aves""",1355
"""2013-2""","""Homo sapiens""",159483
"""2013-2""","""Homo sapiens""",86282
"""2013-2""","""Aves""",4973
"""2013-2""","""Bos taurus""",1
"""2013-3""","""Homo sapiens""",84211
"""2013-3""","""Homo sapiens""",46562
"""2013-3""","""Aves""",3885
"""2013-3""","""Aves""",1566
"""2013-4""","""Aves""",205582
"""2013-4""","""Homo sapiens""",39866
"""2013-4""","""Homo sapiens""",23481
"""2013-4""","""Aves""",51
"""2013-4""","""Corvus splendens""",1
"""2013-5""","""Homo sapiens""",15935
"""2013-5""","""Homo sapiens""",10946
"""2013-5""","""Aves""",3214
"""2013-5""","""Aves""",2
"""2013-6""","""Homo sapiens""",23861
"""2013-6""","""Homo sapiens""",15328
"""2013-6""","""Aves""",8068
"""2013-6""","""Aves""",886
"""2013-7""","""Aves""",74608
"""2013-7""","""Homo sapiens""",30616
"""2013-7""","""Homo sapiens""",20634
"""2013-7""","""Equidae""",10
"""2013-7""","""Corvus splendens""",1
"""2013-8""","""Aves""",48987
"""2013-8""","""Homo sapiens""",17810
"""2013-8""","""Homo sapiens""",11500
"""2013-8""","""Aves""",4423
"""2013-9""","""Homo sapiens""",20028
"""2013-9""","""Homo sapiens""",12584
"""2013-9""","""Aves""",4529
"""2013-9""","""Aves""",415
"""2014-1""","""Homo sapiens""",175881
"""2014-1""","""Homo sapiens""",92307
"""2014-1""","""Aves""",3895
"""2014-1""","""Aves""",14
"""2014-10""","""Homo sapiens""",9319
"""2014-10""","""Homo sapiens""",3837
"""2014-11""","""Homo sapiens""",23186
"""2014-11""","""Homo sapiens""",8567
"""2014-12""","""Homo sapiens""",122461
"""2014-12""","""Homo sapiens""",50471
"""2014-2""","""Homo sapiens""",149442
"""2014-2""","""Homo sapiens""",80524
"""2014-2""","""Aves""",37006
"""2014-2""","""Aves""",8
"""2014-3""","""Homo sapiens""",99853
"""2014-3""","""Homo sapiens""",56209
"""2014-3""","""Aves""",23136
"""2014-3""","""Aves""",6
"""2014-4""","""Homo sapiens""",32316
"""2014-4""","""Homo sapiens""",17548
"""2014-4""","""Aves""",5
"""2014-5""","""Homo sapiens""",18435
"""2014-5""","""Homo sapiens""",10094
"""2014-6""","""Homo sapiens""",27963
"""2014-6""","""Homo sapiens""",14198
"""2014-6""","""Aves""",2
"""2014-7""","""Homo sapiens""",37880
"""2014-7""","""Homo sapiens""",18595
