yearMonth,country,species,monthlyCases
"""2005-1""","""IS""","""Homo sapiens""",372
"""2005-1""","""IE""","""Homo sapiens""",332
"""2005-1""","""ES""","""Homo sapiens""",228
"""2005-1""","""SI""","""Homo sapiens""",208
"""2005-1""","""US""","""Homo sapiens""",199
"""2005-1""","""NO""","""Homo sapiens""",186
"""2005-1""","""CZ""","""Homo sapiens""",186
"""2005-1""","""TH""","""Homo sapiens""",183
"""2005-1""","""LV""","""Homo sapiens""",138
"""2005-1""","""FI""","""Homo sapiens""",132
"""2005-1""","""MA""","""Homo sapiens""",114
"""2005-1""","""MN""","""Homo sapiens""",69
"""2005-1""","""MG""","""Homo sapiens""",66
"""2005-1""","""DK""","""Homo sapiens""",64
"""2005-1""","""TN""","""Homo sapiens""",54
"""2005-1""","""PL""","""Homo sapiens""",48
"""2005-1""","""MX""","""Homo sapiens""",46
"""2005-1""","""EG""","""Homo sapiens""",26
"""2005-1""","""BG""","""Homo sapiens""",24
"""2005-1""","""PH""","""Homo sapiens""",23
"""2005-1""","""UA""","""Homo sapiens""",14
"""2005-1""","""RO""","""Homo sapiens""",9
"""2005-1""","""GF""","""Homo sapiens""",9
"""2005-1""","""TR""","""Homo sapiens""",8
"""2005-1""","""CO""","""Homo sapiens""",6
"""2005-1""","""BR""","""Homo sapiens""",6
"""2005-1""","""VE""","""Homo sapiens""",2
"""2005-1""","""AU""","""Homo sapiens""",2
"""2005-1""","""CY""","""Aves""",1
"""2005-10""","""RU""","""Aves""",13802
"""2005-10""","""CN""","""Homo sapiens""",4194
"""2005-10""","""TR""","""Aves""",1700
"""2005-10""","""MX""","""Homo sapiens""",318
"""2005-10""","""TH""","""Homo sapiens""",288
"""2005-10""","""PH""","""Homo sapiens""",159
"""2005-10""","""RO""","""Aves""",54
"""2005-10""","""CO""","""Homo sapiens""",34
"""2005-10""","""JP""","""Homo sapiens""",24
"""2005-10""","""PE""","""Homo sapiens""",22
"""2005-10""","""NC""","""Homo sapiens""",18
"""2005-10""","""EG""","""Homo sapiens""",16
"""2005-10""","""AU""","""Homo sapiens""",16
"""2005-10""","""CZ""","""Homo sapiens""",15
"""2005-10""","""US""","""Homo sapiens""",8
"""2005-10""","""BR""","""Homo sapiens""",6
"""2005-10""","""IL""","""Homo sapiens""",3
"""2005-10""","""CH""","""Homo sapiens""",3
"""2005-10""","""MG""","""Homo sapiens""",3
