yearMonth,species,class,monthlyCases
"""2022-11""","""Anser caerulescens caerulescens""","""Aves""",3
"""2022-11""","""Charadrius hiaticula""","""Aves""",3
"""2022-11""","""Dendrocopos major""","""Aves""",3
"""2022-11""","""Ardea cinerea""","""Aves""",2
"""2022-11""","""Phoenicopterus roseus""","""Aves""",2
"""2022-11""","""Falco tinnunculus""","""Aves""",2
"""2022-11""","""Mareca penelope""","""Aves""",2
"""2022-11""","""Anas acuta""","""Aves""",2
"""2022-11""","""Grus japonensis""","""Aves""",2
"""2022-11""","""Larus schistisagus""","""Aves""",2
"""2022-11""","""Cygnus columbianus""","""Aves""",2
"""2022-11""","""Phalacrocorax capensis""","""Aves""",2
"""2022-11""","""Calidris alpina""","""Aves""",1
"""2022-11""","""Platalea minor""","""Aves""",1
"""2022-11""","""Uria aalge""","""Aves""",1
"""2022-11""","""Milvus milvus""","""Aves""",1
"""2022-11""","""Strix aluco""","""Aves""",1
"""2022-11""","""Tyto alba""","""Aves""",1
"""2022-11""","""Streptopelia decaocto""","""Aves""",1
"""2022-11""","""Ciconia boyciana""","""Aves""",1
"""2022-11""","""Milvus migrans""","""Aves""",1
"""2022-11""","""Haliaeetus albicilla""","""Aves""",1
"""2022-11""","""Lontra canadensis""","""Mammalia""",1
"""2022-11""","""Ursus arctos""","""Mammalia""",1
"""2022-12""","""Aves""",null,2040776
"""2022-12""","""Grus monacha""","""Aves""",258
"""2022-12""","""Cygnus olor""","""Aves""",68
"""2022-12""","""Sula variegata""","""Aves""",58
"""2022-12""","""Chroicocephalus ridibundus""","""Aves""",35
"""2022-12""","""Branta canadensis""","""Aves""",35
"""2022-12""","""Anser anser""","""Aves""",29
"""2022-12""","""Anser brachyrhynchus""","""Aves""",22
"""2022-12""","""Antigone vipio""","""Aves""",15
"""2022-12""","""Laridae""","""Aves""",12
"""2022-12""","""Sterna hirundo""","""Aves""",12
"""2022-12""","""Larus argentatus""","""Aves""",11
"""2022-12""","""Leucophaeus modestus""","""Aves""",10
"""2022-12""","""Anser caerulescens caerulescens""","""Aves""",10
"""2022-12""","""Phalacrocorax carbo""","""Aves""",8
"""2022-12""","""Columba livia""","""Aves""",6
"""2022-12""","""Corvus macrorhynchos""","""Aves""",6
"""2022-12""","""Larus dominicanus""","""Aves""",5
"""2022-12""","""Mareca penelope""","""Aves""",5
"""2022-12""","""Branta leucopsis""","""Aves""",4
"""2022-12""","""Accipiter gentilis""","""Aves""",4
"""2022-12""","""Cathartes aura""","""Aves""",4
"""2022-12""","""Phalacrocorax brasilianus""","""Aves""",4
"""2022-12""","""Larosterna inca""","""Aves""",4
"""2022-12""","""Accipiter nisus""","""Aves""",4
"""2022-12""","""Anas crecca""","""Aves""",4
"""2022-12""","""Felis catus""","""Mammalia""",3
"""2022-12""","""Anas platyrhynchos""","""Aves""",3
"""2022-12""","""Stercorarius chilensis""","""Aves""",3
"""2022-12""","""Haliaeetus albicilla""","""Aves""",3
"""2022-12""","""Vulpes vulpes""","""Mammalia""",3
"""2022-12""","""Platalea minor""","""Aves""",2
"""2022-12""","""Sterna hirundinacea""","""Aves""",2
"""2022-12""","""Coragyps atratus""","""Aves""",2
"""2022-12""","""Phalacrocorax gaimardi""","""Aves""",2
"""2022-12""","""Thalasseus elegans""","""Aves""",2
"""2022-12""","""Falco sparverius""","""Aves""",2
"""2022-12""","""Larus fuscus graellsii""","""Aves""",2
"""2022-12""","""Falco tinnunculus""","""Aves""",2
"""2022-12""","""Sula nebouxii""","""Aves""",1
"""2022-12""","""Calidris alba""","""Aves""",1
"""2022-12""","""Quiscalus mexicanus""","""Aves""",1
"""2022-12""","""Tyto alba""","""Aves""",1
"""2022-12""","""Aix galericulata""","""Aves""",1
"""2022-12""","""Anser albifrons""","""Aves""",1
"""2022-12""","""Phoenicopterus roseus""","""Aves""",1
"""2022-12""","""Phoenicopterus chilensis""","""Aves""",1
"""2022-12""","""Ardea cinerea""","""Aves""",1
"""2022-12""","""Haliaeetus pelagicus""","""Aves""",1
"""2022-12""","""Aythya marila""","""Aves""",1
"""2022-12""","""Lynx rufus""","""Mammalia""",1
"""2022-12""","""Mephitis mephitis""","""Mammalia""",1
"""2022-12""","""Ursus arctos""","""Mammalia""",1
"""2022-2""","""Aves""",null,172036
"""2022-2""","""Corvus splendens""","""Aves""",15
"""2022-2""","""Cygnus olor""","""Aves""",2
"""2022-2""","""Ciconia ciconia""","""Aves""",2
"""2022-2""","""Phalacrocorax carbo""","""Aves""",1
"""2022-3""","""Aves""",null,375173
"""2022-3""","""Pelecanus crispus""","""Aves""",3
"""2022-3""","""Uria aalge""","""Aves""",2
"""2022-3""","""Vulpes vulpes""","""Mammalia""",1
"""2022-3""","""Sterna hirundo""","""Aves""",1
"""2022-4""","""Aves""",null,128753
"""2022-4""","""Vulpes vulpes""","""Mammalia""",39
"""2022-4""","""Pelecanus crispus""","""Aves""",10
"""2022-4""","""Morus bassanus""","""Aves""",8
"""2022-4""","""Mephitis mephitis""","""Mammalia""",5
"""2022-4""","""Anser brachyrhynchus""","""Aves""",3
"""2022-4""","""Ciconia ciconia""","""Aves""",3
"""2022-4""","""Larus marinus""","""Aves""",2
"""2022-4""","""Anser anser""","""Aves""",2
