yearMonth,country,species,class,monthlyCases
"""2005-12""","""ZA""","""Homo sapiens""","""Mammalia""",27
"""2005-12""","""ZW""","""Homo sapiens""","""Mammalia""",27
"""2005-12""","""TH""","""Homo sapiens""","""Mammalia""",24
"""2005-12""","""CO""","""Homo sapiens""","""Mammalia""",14
"""2005-12""","""CZ""","""Homo sapiens""","""Mammalia""",12
"""2005-12""","""IL""","""Homo sapiens""","""Mammalia""",6
"""2005-12""","""LV""","""Homo sapiens""","""Mammalia""",6
"""2005-12""","""BR""","""Homo sapiens""","""Mammalia""",6
"""2005-12""","""PT""","""Homo sapiens""","""Mammalia""",6
"""2005-12""","""GR""","""Homo sapiens""","""Mammalia""",6
"""2005-2""","""JP""","""Homo sapiens""","""Mammalia""",10680
"""2005-2""","""FR""","""Homo sapiens""","""Mammalia""",5280
"""2005-2""","""DE""","""Homo sapiens""","""Mammalia""",4146
"""2005-2""","""IT""","""Homo sapiens""","""Mammalia""",3260
"""2005-2""","""BE""","""Homo sapiens""","""Mammalia""",3249
"""2005-2""","""SE""","""Homo sapiens""","""Mammalia""",2190
"""2005-2""","""CN""","""Homo sapiens""","""Mammalia""",1914
"""2005-2""","""ZA""","""Homo sapiens""","""Mammalia""",1876
"""2005-2""","""ZW""","""Homo sapiens""","""Mammalia""",1760
"""2005-2""","""CH""","""Homo sapiens""","""Mammalia""",1143
"""2005-2""","""BD""","""Homo sapiens""","""Mammalia""",1086
"""2005-2""","""GR""","""Homo sapiens""","""Mammalia""",750
"""2005-2""","""NO""","""Homo sapiens""","""Mammalia""",459
"""2005-2""","""US""","""Homo sapiens""","""Mammalia""",459
"""2005-2""","""ID""","""Homo sapiens""","""Mammalia""",417
"""2005-2""","""FI""","""Homo sapiens""","""Mammalia""",366
"""2005-2""","""SI""","""Homo sapiens""","""Mammalia""",334
"""2005-2""","""PT""","""Homo sapiens""","""Mammalia""",267
"""2005-2""","""TH""","""Homo sapiens""","""Mammalia""",252
"""2005-2""","""DK""","""Homo sapiens""","""Mammalia""",232
"""2005-2""","""LV""","""Homo sapiens""","""Mammalia""",210
"""2005-2""","""PE""","""Homo sapiens""","""Mammalia""",200
"""2005-2""","""IL""","""Homo sapiens""","""Mammalia""",144
"""2005-2""","""RO""","""Homo sapiens""","""Mammalia""",108
"""2005-2""","""PL""","""Homo sapiens""","""Mammalia""",69
"""2005-2""","""TN""","""Homo sapiens""","""Mammalia""",39
"""2005-2""","""IS""","""Homo sapiens""","""Mammalia""",38
"""2005-2""","""GF""","""Homo sapiens""","""Mammalia""",33
"""2005-2""","""MX""","""Homo sapiens""","""Mammalia""",30
"""2005-2""","""BG""","""Homo sapiens""","""Mammalia""",21
"""2005-2""","""IE""","""Homo sapiens""","""Mammalia""",20
"""2005-2""","""MN""","""Homo sapiens""","""Mammalia""",18
"""2005-2""","""BR""","""Homo sapiens""","""Mammalia""",18
"""2005-2""","""UA""","""Homo sapiens""","""Mammalia""",16
"""2005-2""","""PH""","""Homo sapiens""","""Mammalia""",15
"""2005-2""","""PY""","""Homo sapiens""","""Mammalia""",8
"""2005-2""","""CL""","""Homo sapiens""","""Mammalia""",6
"""2005-2""","""AU""","""Homo sapiens""","""Mammalia""",4
"""2005-2""","""AR""","""Homo sapiens""","""Mammalia""",4
"""2005-2""","""ES""","""Homo sapiens""","""Mammalia""",4
