yearMonth,species,taxonomicClass,monthlyCases
"""2023-6""","""Thalasseus maximus""","""Aves""",16684
"""2023-6""","""Sterna hirundo""","""Aves""",10664
"""2023-6""","""Rissa tridactyla""","""Aves""",7224
"""2023-6""","""Chroicocephalus genei""","""Aves""",6192
"""2023-6""","""Larus argentatus""","""Aves""",4128
"""2023-6""","""Sterna hirundinacea""","""Aves""",1892
"""2023-6""","""Caracara plancus""","""Aves""",1376
"""2023-6""","""Larus canus""","""Aves""",1204
"""2023-6""","""Phalacrocorax carbo""","""Aves""",1032
"""2023-6""","""Buteogallus urubitinga""","""Aves""",1032
"""2023-6""","""Larus marinus""","""Aves""",1032
"""2023-6""","""Haliaeetus albicilla""","""Aves""",1032
"""2023-6""","""Rupornis magnirostris""","""Aves""",860
"""2023-6""","""Ciconia ciconia""","""Aves""",688
"""2023-6""","""Uria aalge""","""Aves""",688
"""2023-6""","""Larus fuscus graellsii""","""Aves""",688
"""2023-6""","""Sternula albifrons""","""Aves""",688
"""2023-6""","""Chroicocephalus maculipennis""","""Aves""",516
"""2023-6""","""Somateria mollissima""","""Aves""",344
"""2023-6""","""Vulpes vulpes""","""Mammalia""",344
"""2023-6""","""Sterna dougallii""","""Aves""",344
"""2023-6""","""Milvus milvus""","""Aves""",344
"""2023-6""","""Ichthyaetus melanocephalus""","""Aves""",344
"""2023-6""","""Larus michahellis atlantis""","""Aves""",344
"""2023-6""","""Passer domesticus""","""Aves""",0
"""2023-7""","""Chroicocephalus ridibundus""","""Aves""",16856
"""2023-7""","""Rissa tridactyla""","""Aves""",1376
"""2023-7""","""Thalasseus maximus""","""Aves""",688
"""2023-7""","""Larus argentatus""","""Aves""",344
"""2023-7""","""Sterna hirundo""","""Aves""",344
"""2023-7""","""Larus canus""","""Aves""",172
"""2023-7""","""Uria aalge""","""Aves""",172
