Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
202345,Mortality/Morbidity,TRUE,1,5/24/22,5/24/22,United States,Kansas,"Lyon County, KS",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202343,Mortality/Morbidity,TRUE,1,4/5/22,4/5/22,United States,Kansas,"Brown County, KS",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202336,Mortality/Morbidity,TRUE,1,5/3/22,5/3/22,United States,Kentucky,"McLean County, KY",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202328,Mortality/Morbidity,TRUE,100,5/1/22,5/10/22,United States,South Carolina,"Charleston County, SC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202325,Mortality/Morbidity,TRUE,2,5/11/22,5/11/22,United States,Florida,"Hillsborough County, FL",Muscovy Duck,Highly Pathogenic Avian Influenza (AI virus H5N1)
202293,Mortality/Morbidity,TRUE,4,4/15/22,4/18/22,United States,Florida,"St Johns County, FL",Muscovy Duck,Bacterial Infection (respiratory); Highly Pathogenic Avian Influenza (AI virus H5N1)
202290,Mortality/Morbidity,TRUE,1,4/14/22,4/14/22,United States,Wisconsin,"St Croix County, WI",Fisher,Highly Pathogenic Avian Influenza (AI virus H5N1)
202285,Mortality/Morbidity,TRUE,1190,5/27/22,7/1/22,United States,Wisconsin,"Door County, WI",Double-crested Cormorant; Herring Gull; American White Pelican; Caspian Tern,Highly Pathogenic Avian Influenza (AI virus H5N1)
202278,Mortality/Morbidity,TRUE,1041,4/7/22,5/18/22,United States,Illinois,"Cook County, IL",Double-crested Cormorant; Great Egret; Ring-billed Gull; Caspian Tern,Highly Pathogenic Avian Influenza (AI virus H5N1)
202272,Mortality/Morbidity,TRUE,1135,5/24/22,7/20/22,United States,Wisconsin,"Door County, WI",Caspian Tern; Double-crested Cormorant; Unidentified Gull; American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202268,Mortality/Morbidity,TRUE,14,5/25/22,5/27/22,United States,District of Columbia,"District of Columbia, DC",Mallard,"Emaciation (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1); Intestinal Coccidiosis (Coccidia, not otherwise specified)"
202267,Mortality/Morbidity,TRUE,244,5/10/22,6/2/22,United States,Wisconsin,"Dodge County, WI",Double-crested Cormorant; American White Pelican; Common Grackle; Red-winged Blackbird,Highly Pathogenic Avian Influenza (AI virus H5N1)
202266,Mortality/Morbidity,TRUE,3,5/23/22,5/23/22,United States,North Dakota,"Dickey County, ND",Red Fox,Highly Pathogenic Avian Influenza (AI virus H5N1)
202263,Mortality/Morbidity,TRUE,10,5/17/22,6/30/22,United States,Arizona,"Maricopa County, AZ",Neotropic (Olivaceous) Cormorant,Highly Pathogenic Avian Influenza (AI virus H5N1)
202262,Mortality/Morbidity,TRUE,62,5/18/22,5/27/22,United States,Illinois,"Cook County, IL",Double-crested Cormorant; Unidentified Gull,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202260,Mortality/Morbidity,TRUE,1,4/15/22,4/15/22,United States,Virginia,"King George County, VA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
202243,Mortality/Morbidity,TRUE,55,5/14/22,5/17/22,United States,Illinois,"McLean County, IL",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202212,Mortality/Morbidity,TRUE,1,5/3/22,5/6/22,United States,Indiana,"Noble County, IN",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5) suspect
202210,Mortality/Morbidity,TRUE,2,5/2/22,5/4/22,United States,Washington,"Walla Walla County, WA",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202208,Mortality/Morbidity,TRUE,15,5/4/22,7/12/22,United States,Wisconsin,"Door County, WI",Herring Gull,Highly Pathogenic Avian Influenza (AI virus H5N1)
202205,Mortality/Morbidity,TRUE,1,5/2/22,5/2/22,United States,Washington,"Pierce County, WA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202200,Mortality/Morbidity,TRUE,1,5/1/22,5/1/22,United States,Minnesota,"St Louis County, MN",Hooded Merganser,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202198,Mortality/Morbidity,TRUE,253,4/18/22,5/15/22,United States,Wisconsin,"Buffalo County, WI",American Coot; American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)
202193,Mortality/Morbidity,TRUE,3,4/27/22,4/28/22,United States,Illinois,"Peoria County, IL",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202190,Mortality/Morbidity,TRUE,1,3/5/15,3/5/15,United States,South Dakota,"Butte County, SD",Bald Eagle,Electrocution (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5)
202188,Mortality/Morbidity,TRUE,1,3/11/22,3/11/22,United States,Missouri,"Barton County, MO",Mallard,Highly Pathogenic Avian Influenza (AI virus H5N1)
202187,Mortality/Morbidity,TRUE,1,3/8/22,3/8/22,United States,Missouri,"Vernon County, MO",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202179,Mortality/Morbidity,TRUE,11,4/25/22,4/25/22,United States,Idaho,"Caribou County, ID",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202177,Mortality/Morbidity,TRUE,8,3/22/22,,United States,Iowa,"Cherokee County, IA",Snow Goose; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202176,Mortality/Morbidity,TRUE,1,3/27/22,4/4/22,United States,Iowa,"Allamakee County, IA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202175,Mortality/Morbidity,TRUE,1,4/15/22,4/15/22,United States,Iowa,"Muscatine County, IA",Peregrine Falcon,Highly Pathogenic Avian Influenza (AI virus H5N1)
202174,Mortality/Morbidity,TRUE,1,4/15/22,4/15/22,United States,Iowa,"Polk County, IA",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
202173,Mortality/Morbidity,TRUE,9,4/12/22,,United States,Iowa,"Lucas County, IA",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202172,Mortality/Morbidity,TRUE,1,4/13/22,4/13/22,United States,Iowa,"Story County, IA",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202171,Mortality/Morbidity,TRUE,2,3/28/22,3/31/22,United States,Iowa,"Boone County, IA",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
202170,Mortality/Morbidity,TRUE,1,4/19/22,4/19/22,United States,Nebraska,"Douglas County, NE",Peregrine Falcon,Highly Pathogenic Avian Influenza (AI virus H5N1)
202169,Mortality/Morbidity,TRUE,1,4/19/22,4/19/22,United States,Nebraska,"Lancaster County, NE",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202168,Mortality/Morbidity,TRUE,1,4/14/22,4/14/22,United States,Montana,"Gallatin County, MT",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202167,Mortality/Morbidity,TRUE,1,4/8/22,4/8/22,United States,Montana,"Lewis And Clark County, MT",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202148,Mortality/Morbidity,TRUE,10,4/21/22,6/13/22,United States,Wisconsin,"Winnebago County, WI",American White Pelican; Herring Gull,Highly Pathogenic Avian Influenza (AI virus H5N1)
202147,Mortality/Morbidity,TRUE,1,3/22/22,3/22/22,United States,Missouri,"Jackson County, MO",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202146,Mortality/Morbidity,TRUE,3,4/12/22,,United States,Pennsylvania,"Franklin County, PA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202144,Mortality/Morbidity,TRUE,1,2/3/22,2/3/22,Canada,British Columbia,"Greater Vancouver Regional District, BC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202139,Mortality/Morbidity,TRUE,1,4/21/22,4/21/22,United States,Indiana,"Newton County, IN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5)
202137,Mortality/Morbidity,TRUE,1,3/7/22,3/7/22,United States,Missouri,"Pettis County, MO",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202132,Mortality/Morbidity,TRUE,101,4/16/22,4/19/22,United States,Maryland,"Harford County, MD",Black Vulture; Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202131,Mortality/Morbidity,TRUE,1,4/11/22,4/12/22,United States,Indiana,"Shelby County, IN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202125,Mortality/Morbidity,TRUE,3,4/12/22,4/12/22,United States,Montana,"Yellowstone County, MT",Turkey (Wild),Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202122,Mortality/Morbidity,TRUE,1,4/12/22,4/12/22,United States,Indiana,"Miami County, IN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202121,Mortality/Morbidity,TRUE,1,4/18/22,4/18/22,United States,Idaho,"Custer County, ID",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
202120,Mortality/Morbidity,TRUE,2,4/15/22,5/15/22,United States,Idaho,"Bonneville County, ID",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202119,Mortality/Morbidity,TRUE,4,4/10/22,4/15/22,United States,Idaho,"Twin Falls County, ID",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202118,Mortality/Morbidity,TRUE,1,3/5/22,3/5/22,United States,Ohio,"Auglaize County, OH",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202115,Mortality/Morbidity,TRUE,1,4/13/22,4/13/22,United States,Indiana,"Johnson County, IN",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1)
202096,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Florida,"Hillsborough County, FL",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202087,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Kansas,"Rawlins County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5) suspect
202083,Mortality/Morbidity,TRUE,1,3/19/22,3/19/22,United States,North Carolina,"Johnston County, NC",Wood Duck,Highly Pathogenic Avian Influenza (AI virus H5) suspect
202065,Mortality/Morbidity,TRUE,1,3/24/22,3/24/22,United States,New York,"Onondaga County, NY",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202063,Mortality/Morbidity,TRUE,1,4/4/22,4/4/22,United States,South Dakota,"Lake County, SD",Lesser Scaup,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202062,Mortality/Morbidity,TRUE,500,3/30/22,5/13/22,United States,Montana,"Teton County, MT",Lesser Snow Goose; Ross' Goose; Unidentified Avian,Aspergillosis; Highly Pathogenic Avian Influenza (AI virus H5N1)
202059,Mortality/Morbidity,TRUE,1,3/28/22,3/28/22,United States,South Dakota,"Minnehaha County, SD",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202058,Mortality/Morbidity,TRUE,33,3/19/22,3/19/22,United States,South Dakota,"Kingsbury County, SD",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202057,Mortality/Morbidity,TRUE,6,3/18/22,3/18/22,United States,South Dakota,"Day County, SD",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202056,Mortality/Morbidity,TRUE,55,3/17/22,3/18/22,United States,South Dakota,"Aurora County, SD",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202055,Mortality/Morbidity,TRUE,10,3/16/22,3/22/22,United States,South Dakota,"Beadle County, SD",Snow Goose; Ross' Goose; Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202054,Mortality/Morbidity,TRUE,1,3/31/22,3/31/22,United States,New York,"Clinton County, NY",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202053,Mortality/Morbidity,TRUE,1,4/5/22,4/5/22,United States,New York,"Monroe County, NY",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1)
202052,Mortality/Morbidity,TRUE,1,3/30/22,3/30/22,United States,New York,"Cayuga County, NY",Cooper's Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1)
202048,Mortality/Morbidity,TRUE,4,4/4/22,4/4/22,United States,Nebraska,"Lancaster County, NE",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202045,Mortality/Morbidity,TRUE,1,4/6/22,4/6/22,United States,Indiana,"Starke County, IN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202041,Mortality/Morbidity,TRUE,1,4/2/22,4/4/22,United States,Ohio,"Clinton County, OH",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202040,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Ohio,"Montgomery County, OH",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202033,Mortality/Morbidity,TRUE,2,4/5/22,4/5/22,United States,Wisconsin,"Juneau County, WI",Hooded Merganser,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202031,Mortality/Morbidity,TRUE,706,3/22/22,4/28/22,United States,Minnesota,"Houston County, MN",Lesser Scaup; American Coot; Canada Goose; Bufflehead; Unidentified Gull; Trumpeter Swan; Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon); Trematodiasis (Sphaeridiotrema sp.)
202026,Mortality/Morbidity,TRUE,1,2/18/22,2/18/22,United States,Florida,"Brevard County, FL",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
202024,Mortality/Morbidity,TRUE,1,2/22/22,2/22/22,United States,North Carolina,"Dare County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
202021,Mortality/Morbidity,TRUE,2,2/28/22,2/28/22,United States,Florida,"Brevard County, FL",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
202020,Mortality/Morbidity,TRUE,3,2/23/22,2/25/22,United States,Florida,"Brevard County, FL",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5)
202019,Mortality/Morbidity,TRUE,1,3/1/22,3/1/22,United States,Florida,"Brevard County, FL",Laughing Gull,Highly Pathogenic Avian Influenza (AI virus H5)
202018,Mortality/Morbidity,TRUE,1,2/25/22,2/25/22,United States,Florida,"Brevard County, FL",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202017,Mortality/Morbidity,TRUE,1,2/27/22,2/27/22,United States,Florida,"Brevard County, FL",Great Blue Heron,Highly Pathogenic Avian Influenza (AI virus H5)
202015,Mortality/Morbidity,TRUE,1,3/7/22,3/7/22,United States,Florida,"Brevard County, FL",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202014,Mortality/Morbidity,TRUE,1,3/7/22,3/7/22,United States,Florida,"Brevard County, FL",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202013,Mortality/Morbidity,TRUE,1,2/16/22,2/16/22,United States,Florida,"Brevard County, FL",Bald Eagle,Blunt Trauma (not otherwise specified) suspect; Highly Pathogenic Avian Influenza (AI virus H5N1)
202008,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Minnesota,"Dakota County, MN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202007,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Minnesota,"Hennepin County, MN",Wood Duck,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202006,Mortality/Morbidity,TRUE,2,3/23/22,3/23/22,United States,Nebraska,"Scotts Bluff County, NE",Snow Goose; Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202004,Mortality/Morbidity,TRUE,4,3/31/22,4/1/22,United States,Illinois,"Will County, IL",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202002,Mortality/Morbidity,TRUE,1,3/28/22,3/28/22,United States,Wisconsin,"Pepin County, WI",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202001,Mortality/Morbidity,TRUE,5,3/28/22,3/30/22,United States,Wisconsin,"Brown County, WI",Mute Swan,Highly Pathogenic Avian Influenza (AI virus H5N1)
202000,Mortality/Morbidity,TRUE,152,3/19/22,3/31/22,United States,Idaho,"Canyon County, ID",Snow Goose,Aspergillosis; Emaciation (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
201999,Mortality/Morbidity,TRUE,1,3/21/22,3/23/22,United States,South Dakota,"Aurora County, SD",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201998,Mortality/Morbidity,TRUE,1,3/22/22,3/22/22,United States,South Dakota,"Codington County, SD",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
201997,Mortality/Morbidity,TRUE,1,3/20/22,3/20/22,United States,Minnesota,"Dakota County, MN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201996,Mortality/Morbidity,TRUE,32,3/17/22,,United States,Michigan,"St Clair County, MI",Canada Goose; Tundra Swan,Highly Pathogenic Avian Influenza (AI virus H5N1)
201995,Mortality/Morbidity,TRUE,2,3/16/22,3/17/22,United States,Michigan,"Macomb County, MI",Snowy Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
201993,Mortality/Morbidity,TRUE,6,3/21/22,3/25/22,United States,Pennsylvania,"Venango County, PA; Crawford County, PA",Hooded Merganser; Redhead Duck,Highly Pathogenic Avian Influenza (AI virus H5N1)
201990,Mortality/Morbidity,TRUE,50,3/21/22,3/28/22,United States,Minnesota,"Wilkin County, MN",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201989,Mortality/Morbidity,TRUE,5,3/20/22,3/24/22,United States,New York,"Wayne County, NY",Tundra Swan; Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
201986,Mortality/Morbidity,TRUE,1,3/22/22,3/22/22,United States,Florida,"Brevard County, FL",Royal Tern,Highly Pathogenic Avian Influenza (AI virus H5) suspect
201985,Mortality/Morbidity,TRUE,2,3/12/22,3/17/22,United States,Florida,"Brevard County, FL",Royal Tern,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
201983,Mortality/Morbidity,TRUE,2,3/21/22,3/21/22,United States,Florida,"Brevard County, FL",Herring Gull,Bacterial Infection (not otherwise specified) suspect; Highly Pathogenic Avian Influenza (AI virus H5N1); Trauma (not otherwise specified) suspect
201974,Mortality/Morbidity,TRUE,3,3/18/22,3/22/22,United States,Florida,"Dixie County, FL",Common Loon; Greater Scaup; Laughing Gull,Highly Pathogenic Avian Influenza (AI virus H5) suspect; Undetermined
201973,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,North Dakota,"Cass County, ND",Snowy Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
201972,Mortality/Morbidity,TRUE,1,3/12/22,3/12/22,United States,North Carolina,"Craven County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
201971,Mortality/Morbidity,TRUE,1,3/17/22,3/17/22,United States,North Carolina,"Pamlico County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5) suspect
201970,Mortality/Morbidity,TRUE,1,3/8/22,3/10/22,United States,North Carolina,"Currituck County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5); Trauma (not otherwise specified)
201968,Mortality/Morbidity,TRUE,1,2/26/22,2/26/22,United States,North Carolina,"Durham County, NC",Great Blue Heron,Highly Pathogenic Avian Influenza (AI virus H5) suspect; Trauma (not otherwise specified)
201963,Mortality/Morbidity,TRUE,1,3/17/22,3/18/22,United States,South Carolina,"Colleton County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
201953,Mortality/Morbidity,TRUE,1,3/1/22,3/1/22,United States,South Carolina,"Lexington County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
201950,Mortality/Morbidity,TRUE,1,3/1/22,3/1/22,United States,Georgia,"Liberty County, GA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
201949,Mortality/Morbidity,TRUE,1,3/28/22,3/28/22,United States,North Dakota,"Mercer County, ND",Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
201947,Mortality/Morbidity,TRUE,1,3/16/22,3/16/22,United States,Wisconsin,"Vernon County, WI",Snowy Owl,Highly Pathogenic Avian Influenza (AI virus H5N1)
201944,Mortality/Morbidity,TRUE,1,3/27/22,3/27/22,United States,North Dakota,"Mercer County, ND",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201943,Mortality/Morbidity,TRUE,1,3/26/22,3/26/22,United States,North Dakota,"Renville County, ND",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201942,Mortality/Morbidity,TRUE,1,3/22/22,3/22/22,United States,Maine,"York County, ME",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201941,Mortality/Morbidity,TRUE,1,3/23/22,3/23/22,United States,Maine,"Lincoln County, ME",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201940,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Minnesota,"Blue Earth County, MN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201939,Mortality/Morbidity,TRUE,1,3/19/22,3/19/22,United States,Pennsylvania,"Chester County, PA",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201938,Mortality/Morbidity,TRUE,91,3/13/22,3/14/22,United States,Iowa,"Page County, IA",Snow Goose; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201937,Mortality/Morbidity,TRUE,1,3/16/22,3/16/22,United States,Illinois,"Champaign County, IL",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201936,Mortality/Morbidity,TRUE,4,3/8/22,3/8/22,United States,Massachusetts,"Middlesex County, MA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
