Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
201825,Mortality/Morbidity,TRUE,60,2/1/22,3/2/22,United States,Illinois,"Will County, IL",Canada Goose; American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201822,Mortality/Morbidity,TRUE,1,2/28/22,2/28/22,United States,Missouri,"Clay County, MO",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201821,Mortality/Morbidity,TRUE,2,2/3/22,2/9/22,United States,Massachusetts,"Barnstable County, MA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201820,Mortality/Morbidity,TRUE,1,2/25/22,2/26/22,United States,Ohio,"Erie County, OH",Herring Gull,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201810,Mortality/Morbidity,TRUE,1,2/14/22,2/14/22,United States,North Carolina,"Wake County, NC",Red-shouldered Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1)
201807,Mortality/Morbidity,TRUE,1,2/28/22,2/28/22,United States,Missouri,"St Louis County, MO",Hooded Merganser,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201798,Mortality/Morbidity,TRUE,50,2/8/22,2/22/22,United States,New Hampshire,"Strafford County, NH",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
201789,Mortality/Morbidity,TRUE,1036,2/7/22,3/15/22,United States,Florida,"Brevard County, FL",Lesser Scaup; Black Vulture; Bald Eagle; Great Blue Heron; Great Horned Owl; Hooded Merganser; Royal Tern; Unidentified Gull,Highly Pathogenic Avian Influenza (AI virus H5); Highly Pathogenic Avian Influenza (AI virus H5N1)
201786,Mortality/Morbidity,TRUE,2,2/8/22,2/8/22,United States,Kentucky,"Ballard County, KY",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
201779,Mortality/Morbidity,TRUE,1,2/2/22,2/2/22,United States,North Carolina,"Carteret County, NC",Redhead Duck,Highly Pathogenic Avian Influenza (AI virus H5N1)
